Driver,LapNumber,Compound,TyreLife
BOR,10.0,HARD,10.0
BOR,11.0,HARD,11.0
BOR,12.0,HARD,12.0
BOR,13.0,HARD,13.0
BOR,14.0,HARD,14.0
BOR,15.0,HARD,15.0
BOR,16.0,HARD,16.0
BOR,17.0,HARD,17.0
BOR,18.0,HARD,18.0
BOR,19.0,HARD,19.0
BOR,20.0,HARD,20.0
BOR,21.0,HARD,21.0
BOR,22.0,HARD,22.0
BOR,23.0,HARD,23.0
BOR,24.0,HARD,24.0
BOR,25.0,HARD,25.0
BOR,26.0,HARD,26.0
BOR,27.0,HARD,27.0
BOR,28.0,HARD,28.0
BOR,29.0,HARD,29.0
BOR,30.0,HARD,30.0
BOR,31.0,HARD,31.0
BOR,32.0,MEDIUM,1.0
BOR,33.0,MEDIUM,2.0
BOR,34.0,MEDIUM,3.0
BOR,35.0,MEDIUM,4.0
BOR,36.0,MEDIUM,5.0
BOR,37.0,MEDIUM,6.0
BOR,38.0,MEDIUM,7.0
BOR,39.0,MEDIUM,8.0
BOR,40.0,MEDIUM,9.0
BOR,41.0,MEDIUM,10.0
BOR,42.0,MEDIUM,11.0
BOR,43.0,MEDIUM,12.0
BOR,44.0,MEDIUM,13.0
BOR,45.0,MEDIUM,14.0
BOR,46.0,MEDIUM,15.0
BOR,47.0,MEDIUM,16.0
BOR,48.0,MEDIUM,17.0
BOR,49.0,MEDIUM,18.0
BOR,50.0,MEDIUM,19.0
BOR,51.0,MEDIUM,20.0
BOR,52.0,MEDIUM,21.0
BOR,53.0,MEDIUM,22.0
STR,1.0,SOFT,1.0
STR,2.0,SOFT,2.0
STR,3.0,SOFT,3.0
STR,4.0,SOFT,4.0
STR,5.0,SOFT,5.0
STR,6.0,SOFT,6.0
STR,7.0,SOFT,7.0
STR,8.0,SOFT,8.0
STR,9.0,SOFT,9.0
STR,10.0,HARD,2.0
STR,11.0,HARD,3.0
STR,12.0,HARD,4.0
STR,13.0,HARD,5.0
STR,14.0,HARD,6.0
STR,15.0,HARD,7.0
STR,16.0,HARD,8.0
STR,17.0,HARD,9.0
STR,18.0,HARD,10.0
STR,19.0,HARD,11.0
STR,20.0,HARD,12.0
STR,21.0,HARD,13.0
STR,22.0,HARD,14.0
STR,23.0,HARD,15.0
STR,24.0,HARD,16.0
STR,25.0,HARD,17.0
STR,26.0,HARD,18.0
STR,27.0,HARD,19.0
STR,28.0,HARD,20.0
STR,29.0,HARD,21.0
STR,30.0,HARD,22.0
STR,31.0,MEDIUM,2.0
STR,32.0,MEDIUM,3.0
STR,33.0,MEDIUM,4.0
STR,34.0,MEDIUM,5.0
STR,35.0,MEDIUM,6.0
STR,36.0,MEDIUM,7.0
STR,37.0,MEDIUM,8.0
STR,38.0,MEDIUM,9.0
STR,39.0,MEDIUM,10.0
STR,40.0,MEDIUM,11.0
STR,41.0,MEDIUM,12.0
STR,42.0,MEDIUM,13.0
STR,43.0,MEDIUM,14.0
STR,44.0,MEDIUM,15.0
STR,45.0,MEDIUM,16.0
STR,46.0,MEDIUM,17.0
STR,47.0,MEDIUM,18.0
STR,48.0,MEDIUM,19.0
STR,49.0,MEDIUM,20.0
STR,50.0,MEDIUM,21.0
STR,51.0,MEDIUM,22.0
STR,52.0,MEDIUM,23.0
